Nodes,Average Path Length,Standard Deviation
1,1.0,0.0
2,1.5,0.0
3,1.6666666666666865,1.9761969838327786e-14
4,2.0,0.0
5,2.2000000000000175,1.7319479184152442e-14
6,2.436000000000001,0.0810596488190433
7,2.5347142857142897,0.10389859656100683
8,2.644,0.04487761134463415
9,2.7777777777778176,3.9968028886505635e-14
10,2.9196000000000435,0.03969685126052181
11,3.037727272727255,0.051004375116177274
12,3.145916666666657,0.04736083414712064
13,3.2529230769230826,0.053463253984649774
14,3.3549999999999716,0.06689544080129821
15,3.4492000000000225,0.0857737592610803
16,3.51625,0.09855201672213497
17,3.578352941176456,0.10030707178718314
18,3.64011111111114,0.09583157808376526
19,3.690315789473668,0.07969025910437162
20,3.7488999999999737,0.06545066844578407
21,3.810285714285697,0.054746250350481945
22,3.8688636363636824,0.049035638077350195
23,3.9341304347826416,0.046213423691613506
24,3.9931666666666707,0.04741776507222216
25,4.051679999999969,0.052440228832452696
26,4.1042692307692015,0.052700434522084956
27,4.15625925925928,0.05464737941399916
28,4.207821428571452,0.056697359384934726
29,4.262413793103433,0.05763780467664391
30,4.306766666666707,0.05878199837818815
31,4.356419354838748,0.06301973494641128
32,4.40328125,0.0673723837038402
33,4.44981818181819,0.06869947596716768
34,4.489647058823531,0.0764371872756705
35,4.539171428571417,0.08252326326310558
36,4.575916666666678,0.08559753209059263
37,4.616108108108109,0.09481204350642447
38,4.650421052631582,0.10044686857837944
39,4.67438461538461,0.09776058923392178
40,4.710224999999995,0.09843690555376071
41,4.7376829268292955,0.10113859533819917
42,4.762261904761896,0.09814254233908985
43,4.789674418604637,0.0961904546693537
44,4.8193636363636365,0.08872168387763274
45,4.842155555555558,0.08642813613661585
46,4.8712173913043415,0.08459350147318251
47,4.898276595744678,0.07798689109934405
48,4.920104166666671,0.0699198915376653
49,4.944183673469353,0.063766203402559
50,4.974920000000004,0.0635719560812781
51,5.003254901960785,0.06106967803074586
52,5.029480769230774,0.05609622636529166
53,5.055283018867916,0.052434841492557324
54,5.079537037037033,0.05001362982952012
55,5.104945454545398,0.05106474904512246
56,5.136607142857136,0.05279043812228559
57,5.162228070175436,0.05231480990293312
58,5.186793103448269,0.054735457187128196
59,5.212830508474557,0.054021687474660435
60,5.236216666666651,0.05535007527847944
61,5.260819672131151,0.058005689700444854
62,5.286387096774203,0.058155090646977534
63,5.3107460317460475,0.059569444940096174
64,5.333015625,0.06065847778945977
65,5.360830769230758,0.06290386014627221
